"pptID","fileName","age","gender","nationality","firstLang","highestEdu","condition","videoCond","questionCond","trial","clipName","question","response","answer","RT","answerNum","variance","lowVariance"
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",1,"excitedChild","openBox",NA,NA,33065,NA,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",2,"excitedChild","age",6,NA,11262,6,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",3,"excitedChild","gettingOnWell",0,"yes",4127,0,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",4,"excitedChild","relationshipBetweenCharacters",1,"neutral",2820,1,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",5,"excitedChild","workingTogether",2,"no",2510,2,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",6,"excitedChild","leftDominant",2,"neutral",12046,2,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",7,"excitedChild","rightDominant",2,"neutral",12046,2,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",8,"excitedChild","leftCooperative",1,"disagree",4821,1,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",9,"excitedChild","rightCooperative",1,"disagree",4821,1,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",10,"excitedChild","leftCompetitive",1,"disagree",6949,1,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",11,"excitedChild","rightCompetitive",3,"agree",6949,3,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",12,"excitedChild","leftFriendly",1,"disagree",3884,1,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",13,"excitedChild","rightFriendly",3,"agree",3884,3,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",14,"excitedChild","leftAggressive",4,"stronglyAgree",4190,4,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",15,"excitedChild","rightAggressive",0,"stronglyDisagree",4190,0,1.61255411255411,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",16,"excitedChild","leftEngaged",0,"stronglyDisagree",4621,0,1.61255411255411,0
