,clipName,pptID,condition,gettingOnWell,relationshipBetweenCharacters,workingTogether,leftDominant,rightDominant,leftCooperative,rightCooperative,leftCompetitive,rightCompetitive,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftFearful,rightFearful,leftSad,rightSad,leftContent,rightContent,leftAngry,rightAngry,leftAmused,rightAmused
0,1Laugh1PushAway,55,4,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
1,1Laugh1PushAway,87,4,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0
2,1Laugh1PushAway,118,2,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0
3,1Laugh1PushAway,136,2,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0
4,1Laugh1PushAway,417,4,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0
5,1Laugh1PushAway,681,4,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,2.0
6,1Laugh1PushAway,695,4,0.0,0.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0
7,1Laugh1PushAway,1031,4,2.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,3.0,4.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0
8,1Laugh1PushAway,1315,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0
9,1Laugh1PushAway,1460,2,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0
10,1Laugh1PushAway,1506,2,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
11,1Laugh1PushAway,1508,2,0.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,3.0,2.0,0.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0
12,1Laugh1PushAway,1659,2,2.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0
